id,title,organizationType,organization,date,location,attendees,needs,budget,description,requirements,contactEmail,url
11,Mason Dining,Department Event,Not specified,2025-01-28T11:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Mason+Dining)"" target=""_blank"" rel=""noopener"">Johnson Center, Atrium, Fairfax Campus</a>",0,Not specified,Not specified,Stop by to learn more about meal plans and dining options with Mason Dining,Not specified,Not specified,
12,Winter Welcome2Mason: Get Connected Fair,Department Event,Not specified,2025-01-28T11:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
13,Presentation and Q&amp;A,Student Organization,Not specified,2025-01-29T10:00:00,"Merten Hall, 1201, James W. Hazel Conference Room, Fairfax Campus, Merten Hall, 1202, Meeting Room, Fairfax Campus, Merten Hall, 1203, Meeting Room, Fairfax Campus",0,Not specified,Not specified,Event for Students in Neuroscience for faculty and students. The speaker will present and host a Q&A.&#160;,Not specified,Not specified,
14,Mason Dining,Department Event,Not specified,2025-01-29T11:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Mason+Dining)"" target=""_blank"" rel=""noopener"">Johnson Center, Atrium, Fairfax Campus</a>",0,Not specified,Not specified,Stop by to learn more about meal plans and dining options with Mason Dining,Not specified,Not specified,
15,Visual Voices,Department Event,Not specified,2025-01-30T16:45:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Visual+Voices)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,Visual Voices,Not specified,Not specified,
16,Visual Voices with Chemi Rosado-Seijo,Department Event,Not specified,2025-01-30T16:45:00,Virtual Event Zoom,0,Not specified,Not specified,"Visual Voices is a lecture series hosted by Mason Exhibitions and the School of Art and Design. We look forward to seeing you in person or online on Thursday, January 30, 4:45pm to 6:30 pm. This event will be held at the Center for the Arts Concert Hall on the GMU Fairfax campus and online via Zoom. RSVP is required to receive the Zoom link via email the day-of! RSVP: app.e2ma.net&#8230; Born in Vega Alta, Puerto Rico, Chemi Rosado-Seijo graduated from the painting department of the Puerto Rico School of Visual Arts in 1997. In 1998, he worked with Michy Marxuach to open a gallery that transformed into a not-for-profit organization presenting resources and exhibitions for contemporary artists in Puerto Rico.&#160; In 2000, Rosado had his first solo show at the Joan Miro Foundation in Barcelona, including interventions on billboards around the city. Since 2002, he has worked with residents of the El Cerro community, a poor neighborhood south of San Juan, to present public art projects, workshops and other community initiatives.&#160; In 2006, he inaugurated La Perla&#8217;s Bowl, a sculpture built with residents of San Juan&#8217;s La Perla community that functions as both a skateboarding ramp and a pool. Since 2009, Rosado-Seijo has been organizing exhibitions in his apartment in Santurce, creating a center for meeting and exchange in the Puerto Rican contemporary art scene. Rosado-Seijo&#8217;s work was included in the Whitney Biennial in 2017. In 2020, current School of Art faculty, Ben Ashworth, collaborated with Chemi Rosado-Seijo on The Ceremonial Bowl: vimeo.com&#8230;",RSVP is required to receive the Zoom link via email the day-of! RSVP: app,Not specified,
17,All County Orchestra - Concert,Department Event,Not specified,2025-01-30T19:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(All+County+Orchestra+-+Concert)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,.,Not specified,Not specified,
18,Homecoming 2025,Student Organization,Not specified,2025-01-31T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
19,Accounting Town Hall,Department Event,Not specified,2025-01-31T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Accounting+Town+Hall)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,N/A,Not specified,Not specified,
20,YAGP - Competition,Department Event,Not specified,2025-01-31T13:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(YAGP+-+Competition)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
21,Homecoming Tipoff and Lipsync Battle,Department Event,Not specified,2025-01-31T19:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 3-4-5, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room VIP I, Fairfax Campus, The HUB, Meeting Room VIP III, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax&#8230;",0,Not specified,Not specified,,Not specified,Not specified,
22,Homecoming 2025,Student Organization,Not specified,2025-02-01T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
23,YAGP,Department Event,Not specified,2025-02-01T08:00:00,"Hylton Performing Arts Center, Merchant Hall, Hylton Performing Arts Center, Jacquemin Family Foundation Rehearsal Hall, Hylton Performing Arts Center, Ballard Postma Studio",0,Not specified,Not specified,&#160;&#160;,Not specified,Not specified,
24,Admissions Saturday Information Sessions,Department Event,Not specified,2025-02-01T09:00:00,"<a href=""http://maps.google.com/?q=38.834877,-77.307851(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Merten Hall, 1201, James W. Hazel Conference Room, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
25,Paw Patrol:  A Mighty Adventure,Department Event,Not specified,2025-02-01T10:00:00,EagleBank Arena (Patriot Center),0,Not specified,Not specified,"Get ready to PAW-ty like never before in a fantastic new PAW Patrol Adventure! After Chase, Marshall, Skye and the gang save Adventure City with their Mighty Pup Powers, it&#8217;s time for the paw-some-est street party ever.&#160; Tickets can be purchased at www.ticketmaster.com or at the EagleBank Arena Box Office.&#160; Box Office hours are Tuesday - Thursday (12pm - 6pm) and Friday - Saturday (12pm - 4pm).&#160; Children 1 yr old and over will need a ticket. &#160;",Not specified,Not specified,
26,REN - Seton: VISAA Division II Invite,Department Event,Not specified,2025-02-01T10:00:00,"Freedom Center, Competition Pool Deep Deck, Science and Technology Campus, Freedom Center, Competition Pool Middle Deck, Science and Technology Campus, Freedom Center, Breakout Area, Science and Technology Campus",0,Not specified,Not specified,,Not specified,Not specified,
27,Metropolitan Jazz Orchestra with Branford Marsalis,Department Event,Not specified,2025-02-01T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Metropolitan+Jazz+Orchestra+with+Branford+Marsalis)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$60,"Jim Carroll, artistic director GRAMMY Award-winning saxophonist Branford Marsalis joins the Metropolitan Jazz Orchestra in this special concert. An exceptionally versatile musician, Marsalis is a band leader, featured classical soloist, and composer, winning three GRAMMY Awards, Tony, and Drama Desk Award nominations for his work as a composer on Broadway, a citation by the National Endowment for the Arts as a Jazz Master, and a Primetime Emmy nomination for best original score. Marsalis formed his own quartet in 1986, and after more than three decades of existence with minimal personnel changes the Branford Marsalis Quartet is revered for its kaleidoscopic range of both original compositions and jazz and popular classics. A frequently featured classical soloist, Marsalis has performed with acclaimed orchestras around the world and his legendary performances with the Grateful Dead and collaborations with Sting have made him a fan favorite in the pop arena. As a composer, Marsalis has scored films including Spike Lee&#8217;s Mo&#8217; Better Blues , The Immortal Life of Henrietta Lacks ,&#160;starring Oprah Winfrey, Ma Rainey&#8217;s Black Bottom starring Viola Davis and Chadwick Boseman , and the recent Netflix film Rustin starring Colman Domingo. The Metropolitan Jazz Orchestra is made up of the D.C.-area&#8217;s finest musicians and is led by Founder, Artistic Director, and virtuoso alto saxophonist Jim Carroll. This performance will also feature vocalist Darden Purcell, George Mason University&#8217;s jazz program director.&#160; This performance is appropriate for all ages. Tickets: $60, $51, $36; half-price for youth through Grade 12",Not specified,Not specified,
28,YAGP,Department Event,Not specified,2025-02-02T08:00:00,"Hylton Performing Arts Center, Merchant Hall, Hylton Performing Arts Center, Jacquemin Family Foundation Rehearsal Hall, Hylton Performing Arts Center, Ballard Postma Studio",0,Not specified,Not specified,&#160;&#160;,Not specified,Not specified,
29,Mike Super - Magic &amp; Illusion,Department Event,Not specified,2025-02-02T16:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Mike+Super+-+Magic+%26+Illusion)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$40,"See A merica&#8217;s Got Talent finalist and &#8220;America&#8217;s Favorite Mystifier&#8221; Mike Super live on stage! Mike Super brings his immersive show of mind-blowing illusions to the Center for the Arts to entertain and enthrall the whole family. He rose to fame as the winner of NBC&#8217;s hit television series Phenomenon , becoming the only magician in history to win a LIVE magic competition on a primetime U.S. network television. He is also a top finalist on America&#39;s Got Talent , appeared on Penn and Teller: Fool Us, and many international television series. Whether he is performing on stage, screen, or up close and in person, Mike Super transcends the &#8220;trick&#8221; and connects personally with his audiences, making this a Center for the Arts Family Series event sure to leave you spellbound. Join the journey of emotions from laughter, intrigue, danger, fear, wonder, anticipation, tears, and sentimentality that only Mike Super delivers! Recommended for ages 3 and up. Tickets: $40, $30, $20",Not specified,Not specified,
30,YAGP - Awards Ceremony,Department Event,Not specified,2025-02-02T19:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(YAGP+-+Awards+Ceremony)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
31,Homecoming 2025,Student Organization,Not specified,2025-02-03T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
32,Homecoming 2025,Student Organization,Not specified,2025-02-04T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
33,Azucar Bacahta 1,Department Event,Not specified,2025-02-04T19:00:00,"<a href=""http://maps.google.com/?q=38.830703,-77.304832(Azucar+Bacahta+1)"" target=""_blank"" rel=""noopener"">The HUB, Ballroom, Front &amp; Middle, Fairfax Campus</a>",0,Not specified,Not specified,Bachata 1 Class and Social,Not specified,Not specified,
34,Homecoming 2025,Student Organization,Not specified,2025-02-05T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
35,Univ Life All Staff Meeting Sp 2025,Department Event,Not specified,2025-02-05T07:30:00,"Johnson Center, G19, Gold Room, Fairfax Campus, Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus, Johnson Center, G29, Dewberry Hall&#8230;",0,Not specified,Not specified,Round tables for 350 with chairs stage with podium/mic and pipe/drape; 2 large screens in pipe/drape replicate May 1 UL all staff meeting tech and set up,Not specified,Not specified,
36,Day of Service and Blood Drive,Department Event,Not specified,2025-02-05T10:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
37,Campaign Kickoff,Department Event,Not specified,2025-02-05T18:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Campaign+Kickoff)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,,Not specified,Not specified,
38,Azucar Zouk 1,Department Event,Not specified,2025-02-05T19:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Azucar+Zouk+1)"" target=""_blank"" rel=""noopener"">Johnson Center, Bistro, Fairfax Campus</a>",0,Not specified,Not specified,Azucar Zouk 1 Class and Social,Not specified,Not specified,
39,Homecoming 2025,Student Organization,Not specified,2025-02-06T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
40,CS Career Mixer,Department Event,Not specified,2025-02-06T14:30:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,Department of Computer Science Career Mixer,Not specified,Not specified,
41,Visual Voices,Department Event,Not specified,2025-02-06T16:45:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Visual+Voices)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Visual Voices lecture,Not specified,Not specified,
42,Spring Comedy Headliner 2025: Sarah Sherman,Student Organization,Not specified,2025-02-06T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(Spring+Comedy+Headliner+2025%3a+Sarah+Sherman)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,$5,"Sarah Sherman aka Sarah Squirm is currently a featured player on SATURDAY NIGHT LIVE. She co-stars with Adam Sandler in the Netflix film, You Are SO Not Invited to My Bat Mitzvah ! Sarah was selected as a NEW FACE at the 2021 Montreal Just For Laughs Comedy Festival and is known for her popular live show, Helltrap Nightmare . Sarah previously opened for Eric Andr&#233; on his national tour and wrote on THE ERIC ANDRE SHOW. She staffed on the Adult Swim series THREE BUSY DEBRAS and Netflix&#8217;s MAGIC FOR HUMANS. She was previously named one of Vulture&#39;s Comics to Watch for 2018 and one of TIME OUT Magazine&#8217;s Five Comics to Watch for 2017. $5* for students (limit 2 tickets per ID) $15* Alumni/faculty/staff/CFA patrons *$4 service fee is added per ticket for purchasing online and over the phone. No service fees are added if tickets are purchased in person from the Center for the Arts Ticket Office or in the Student Involvement office in Hub 2300. The Center for the Arts Ticket Office is open Tuesday through Saturday, 10 a.m. to 6 p.m., and two hours before ticketed events in the Center for the Arts Concert Hall. Tickets can be purchased with cash or Amex, Mastercard, or Visa. Student Involvement office hours are 9 a.m. to 9 p.m. Monday through Thursday, and 9:00 am to 11:00 pm Friday. Tickets can be purchased with Mason Money only.",Not specified,Not specified,
43,Homecoming 2025,Student Organization,Not specified,2025-02-07T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
44,Education - Elena Moon Park School Show,Department Event,Not specified,2025-02-07T11:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Education+-+Elena+Moon+Park+School+Show)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,,Not specified,Not specified,
45,Film Winter Warm-Up,Student Organization,Not specified,2025-02-07T11:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,"Don&#39;t miss our Winter Warm-Up and Production Fair on Friday, Feb. 7, from 11:00-1:00pm in Dewberry Hall! Meet fellow Film at Mason students, hear directing students pitch their projects, and sign up to work on student films. Complimentary refreshments will be available. Open to all CVPA students. Register on Mason360.",Not specified,Not specified,
46,Mason Recreation Hall of Fame Ceremony,Department Event,Not specified,2025-02-07T19:00:00,"Johnson Center, Dewberry Hall Lobby, Fairfax Campus, Johnson Center, Dewberry Hall, Fairfax Campus, Johnson Center, Dewberry Hall Pre-Function Hall, Fairfax Campus",0,Not specified,Not specified,The Mason Recreation Hall of Fame Induction Ceremony honors individuals who have made significant contributions to the field of recreation within the Mason community.&#160;,Not specified,Not specified,
47,CANCELED: Czech National Philharmonic,Department Event,Not specified,2025-02-07T20:00:00,"<a href=""http://maps.google.com/?q=38.82911,-77.309504(CANCELED%3a+Czech+National+Philharmonic)"" target=""_blank"" rel=""noopener"">Center for the Arts, Concert Hall, Fairfax Campus</a>",0,Not specified,Not specified,"The Czech National Philharmonic has canceled their U.S. tour including their performance at the Center for the Arts. Ticketholders to this performance will be contacted by the Center for the Arts Ticket Office to assist with options for ticket credit or refunds beginning January 14. MORE TO EXPLORE Hylton Performing Arts Center&#160; &#160; Czech National Symphony Orchestra &#160; February 23 at 4 p.m. &#160; The Center for the Arts&#8217; sister venue the Hylton Performing Arts Center in Manassas, Virginia presents the Czech National Symphony Orchestra (CNSO) with a masterful program of fiery, powerhouse works under the direction of Music Director Steven Mercurio. The program features rising violinist Sandy Cameron and pianist Maxim Lando. Learn More Mason Arts Amplified &#160; Royal Philharmonic Orchestra with Isata Kanneh-Mason &#160; Pre-order digital access to enjoy the Royal Philharmonic Orchestra&#8217;s January 28, 2024 performance at the Center for the Arts featuring pianist Isata Kanneh-Mason. This exclusive content will be available beginning January 16, 2025 and available to watch for 30 days.&#160; Learn More",Not specified,Not specified,
48,NPHC Homecoming Party,Department Event,Not specified,2025-02-07T20:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,,Not specified,Not specified,
49,Homecoming 2025,Student Organization,Not specified,2025-02-08T00:00:00,,0,Not specified,Not specified,"Student Involvement, the Patriot Activities Council, Mason Athletics, Alumni Relations, and other Mason departments, clubs and organizations will rally around our Men&#39;s and Women&#39;s basketball teams for Homecoming festivities throughout the week. &#160; Each year, the partnership between&#160; Student Involvement ,&#160; Alumni Relations , and&#160; Mason Athletics &#160;grows and expands. Each of our departments are excited to welcome you to all of the fun and school-spirited events this year. We are thrilled to present to you tons of great ways to show your pride for Mason Nation during this festive week of events! &#160; More Information",Not specified,Not specified,
50,Collegiate Esports Tournament,Department Event,Not specified,2025-02-08T08:00:00,"The HUB, Ballroom, Fairfax Campus, The HUB, Meeting Room 1 &amp; 2, Fairfax Campus, The HUB, Meeting Room 3 &amp; 4, Fairfax Campus, The HUB, Ballroom, Lobby, Fairfax Campus",0,Not specified,Not specified,This will be a collegiate esports event with 60+ pc&#39;s and a bunch of colleges. It would run for&#160; 2 full days from 9am-10pm,Not specified,Not specified,
51,Forensics Tournament,Department Event,Not specified,2025-02-08T08:00:00,,0,Not specified,Not specified,Forensics Tournament,Not specified,Not specified,
52,Precision Dance Competition,Department Event,Not specified,2025-02-08T08:00:00,"<a href=""http://maps.google.com/?q=38.759237,-77.524774(Precision+Dance+Competition)"" target=""_blank"" rel=""noopener"">Hylton Performing Arts Center, Merchant Hall</a>",0,Not specified,Not specified,0,Not specified,Not specified,
53,Admissions Saturday Information Sessions,Department Event,Not specified,2025-02-08T09:00:00,"<a href=""http://maps.google.com/?q=38.829992,-77.307509(Admissions+Saturday+Information+Sessions)"" target=""_blank"" rel=""noopener"">Johnson Center, Cinema, Fairfax Campus</a>",0,Not specified,Not specified,Information session location for Admissions Saturday sessions (tours launched after each session)&#160;,Not specified,Not specified,
